Compound,Reference Compound,PelePhysics Key,Weight %,SMILES
Toluene,toluene,C6H5CH3,0.17,Cc1ccccc1
C2-Benzene,ethyl benzene ,C6H5C2H5,1.1,CCc1ccccc1
C3-Benzene,propyl benzene,C6H5C3H7,2.97,CCCc1ccccc1
C4-Benzene,butyl benzene,C6H5C4H9,3.32,CCCCc1ccccc1
C5-Benzene,pentyl benzene,C6H5C5H11,2.22,CCCCCc1ccccc1
C6-Benzene,hexyl benzene,C6H5C6H13,1.45,CCCCCCc1ccccc1
C7-Benzene,heptyl benzene,C6H5C7H15,0.73,CCCCCCCc1ccccc1
C8-Benzene,octyl benzene,C6H5C8H17,0.52,CCCCCCCCc1ccccc1
C9-Benzene,nonyl benzene,C6H5C9H19,0.42,CCCCCCCCCc1ccccc1
Diaromatic-C10,naphthalene,NAPH,0.22,c1ccc2ccccc2c1
Diaromatic-C11,1-methyl naphthalene,METHYLNAPH-1,0.66,Cc1cccc2ccccc12
Diaromatic-C12,1-ethyl naphthalene,ETHYLNAPH-1,0.86,CCc1cccc2ccccc12
Diaromatic-C13,1-propyl naphthalene,PROPYLNAPH-1,0.6,CCCc1cccc2ccccc12
Cycloaromatic-C09,indane,INDANE,0.02,C1CCc2ccccc12
Cycloaromatic-C10,tetralin,TETRA,0.26,C1CCC2=CC=CC=C2C1
Cycloaromatic-C11,2-methyl tetralin,METHYLTETRA-2,0.66,CC1CC2=CC=CC=C2CC1
Cycloaromatic-C12,2-ethly tetralin,ETHYLTETRA-2,0.89,CCC1CC2=CC=CC=C2CC1
Cycloaromatic-C13,2-propyl tetralin,PROPYLTETRA-2,0.85,CCCC1CC2=CC=CC=C2CC1
Cycloaromatic-C14,2-butyl tetralin,BUTYLTETRA-2,0.61,CCCCC1CC2=CC=CC=C2CC1
C07-Isoparaffin,2-methyl hexane,C7H16-2,0.15,CCCCC(C)C
C08-Isoparaffin,2-methyl heptane,C8H18-2,0.44,CCCCCC(C)C
C09-Isoparaffin,2-methyl octane,C9H20-2,1.05,CCCCCCC(C)C
C10-Isoparaffin,2-methyl nonane,C10H22-2,4.2,CCCCCCCC(C)C
C11-Isoparaffin,2-methyl decane,C11H24-2,5.7,CCCCCCCCC(C)C
C12-Isoparaffin,2-methyl undecane,C12H26-2,5.63,CCCCCCCCCC(C)C
